unit_nr,time_cycles,op_setting_1,op_setting_2,op_setting_3,s_1,s_2,s_3,s_4,s_5,s_6,s_7,s_8,s_9,s_10,s_11,s_12,s_13,s_14,s_15,s_16,s_17,s_18,s_19,s_20,s_21
1,1,-0.0007,-0.0004,100.0,518.67,641.82,1589.70,1400.60,14.62,21.61,553.90,2388.06,9046.19,1.30,47.47,521.66,2388.02,8138.62,8.42,0.03,392,2388,100.00,39.06,23.42
1,2,0.0019,-0.0003,100.0,518.67,642.15,1591.82,1403.14,14.62,21.61,554.32,2388.07,9045.89,1.30,47.49,522.28,2388.07,8131.49,8.43,0.03,392,2388,100.00,39.00,23.42
1,3,0.0043,0.0001,100.0,518.67,642.35,1587.99,1404.20,14.62,21.61,554.52,2388.03,9050.12,1.30,47.27,522.42,2388.03,8133.23,8.40,0.03,390,2388,100.00,38.95,23.34
1,4,0.0007,0.0000,100.0,518.67,642.20,1582.79,1401.87,14.62,21.61,554.45,2388.04,9049.34,1.30,47.13,522.86,2388.02,8132.91,8.38,0.03,392,2388,100.00,38.88,23.37
1,5,-0.0019,0.0002,100.0,518.67,641.98,1589.12,1402.41,14.62,21.61,554.10,2388.05,9048.75,1.30,47.28,523.11,2388.05,8134.22,8.39,0.03,391,2388,100.00,38.82,23.35
1,6,0.0021,-0.0001,100.0,518.67,642.40,1590.11,1403.60,14.62,21.61,554.72,2388.03,9047.10,1.30,47.42,523.44,2388.04,8131.96,8.41,0.03,392,2388,100.00,38.78,23.40
1,7,-0.0004,0.0003,100.0,518.67,642.56,1588.65,1405.18,14.62,21.61,554.98,2388.05,9045.40,1.30,47.35,523.80,2388.06,8130.10,8.41,0.03,393,2388,100.00,38.72,23.41
1,8,0.0012,-0.0002,100.0,518.67,642.70,1591.30,1406.00,14.62,21.61,555.10,2388.04,9044.90,1.30,47.51,524.05,2388.03,8128.44,8.43,0.03,392,2388,100.00,38.69,23.45
1,9,-0.0032,0.0001,100.0,518.67,642.35,1589.91,1405.70,14.62,21.61,554.87,2388.03,9046.38,1.30,47.29,524.20,2388.04,8129.62,8.41,0.03,391,2388,100.00,38.63,23.39
1,10,0.0025,-0.0004,100.0,518.67,642.81,1592.05,1407.11,14.62,21.61,555.20,2388.05,9043.97,1.30,47.60,524.62,2388.06,8127.05,8.45,0.03,393,2388,100.00,38.58,23.48
1,11,0.0011,0.0000,100.0,518.67,642.90,1591.77,1408.04,14.62,21.61,555.28,2388.03,9043.21,1.30,47.58,524.96,2388.04,8126.10,8.44,0.03,394,2388,100.00,38.55,23.50
