unit_nr,time_cycles,op_setting_1,op_setting_2,op_setting_3,s_1,s_2,s_3,s_4,s_5,s_6,s_7,s_8,s_9,s_10,s_11,s_12,s_13,s_14,s_15,s_16,s_17,s_18,s_19,s_20,s_21
11,1,-0.0007,-0.0004,100.0,518.67,641.82,1589.7,1400.6,14.62,21.61,553.9,2388.06,9046.19,1.3,47.47,521.66,2388.02,8138.62,8.42,0.03,392.0,2388.0,100.0,39.06,23.42
11,2,0.0019,-0.0003,100.0,518.67,642.15,1591.82,1403.14,14.62,21.61,554.32,2388.07,9045.89,1.3,47.49,522.28,2388.07,8131.49,8.43,0.03,392.0,2388.0,100.0,39.0,23.42
11,3,0.0043,0.0001,100.0,518.67,642.35,1587.99,1404.2,14.62,21.61,554.52,2388.03,9050.12,1.3,47.27,522.42,2388.03,8133.23,8.4,0.03,390.0,2388.0,100.0,38.95,23.34
11,4,0.0007,0.0,100.0,518.67,642.2,1582.79,1401.87,14.62,21.61,554.45,2388.04,9049.34,1.3,47.13,522.86,2388.02,8132.91,8.38,0.03,392.0,2388.0,100.0,38.88,23.37
11,5,-0.0019,0.0002,100.0,518.67,641.98,1589.12,1402.41,14.62,21.61,554.1,2388.05,9048.75,1.3,47.28,523.11,2388.05,8134.22,8.39,0.03,391.0,2388.0,100.0,38.82,23.35
11,6,0.0021,-0.0001,100.0,518.67,642.4,1590.11,1403.6,14.62,21.61,554.72,2388.03,9047.1,1.3,47.42,523.44,2388.04,8131.96,8.41,0.03,392.0,2388.0,100.0,38.78,23.4
11,7,-0.0004,0.0003,100.0,518.67,642.56,1588.65,1405.18,14.62,21.61,554.98,2388.05,9045.4,1.3,47.35,523.8,2388.06,8130.1,8.41,0.03,393.0,2388.0,100.0,38.72,23.41
11,8,0.0012,-0.0002,100.0,518.67,642.7,1591.3,1406.0,14.62,21.61,555.1,2388.04,9044.9,1.3,47.51,524.05,2388.03,8128.44,8.43,0.03,392.0,2388.0,100.0,38.69,23.45
11,9,-0.0032,0.0001,100.0,518.67,642.35,1589.91,1405.7,14.62,21.61,554.87,2388.03,9046.38,1.3,47.29,524.2,2388.04,8129.62,8.41,0.03,391.0,2388.0,100.0,38.63,23.39
11,10,0.0025,-0.0004,100.0,518.67,642.81,1592.05,1407.11,14.62,21.61,555.2,2388.05,9043.97,1.3,47.6,524.62,2388.06,8127.05,8.45,0.03,393.0,2388.0,100.0,38.58,23.48
11,11,0.0011,0.0,100.0,518.67,642.9,1591.77,1408.04,14.62,21.61,555.28,2388.03,9043.21,1.3,47.58,524.96,2388.04,8126.1,8.44,0.03,394.0,2388.0,100.0,38.55,23.5
11,12,-0.0015,0.0002,100.0,518.67,642.76,1590.44,1408.9,14.62,21.61,555.17,2388.04,9044.02,1.3,47.49,525.12,2388.04,8125.75,8.43,0.03,392.0,2388.0,100.0,38.5,23.47
11,13,0.0006,-0.0003,100.0,518.67,643.05,1592.66,1410.15,14.62,21.61,555.42,2388.05,9042.9,1.3,47.68,525.6,2388.06,8123.2,8.46,0.03,394.0,2388.0,100.0,38.44,23.53
11,14,-0.0009,0.0001,100.0,518.67,642.95,1591.33,1410.92,14.62,21.61,555.3,2388.03,9043.5,1.3,47.55,525.92,2388.03,8122.3,8.44,0.03,393.0,2388.0,100.0,38.4,23.51
11,15,0.0018,-0.0002,100.0,518.67,643.22,1593.11,1412.06,14.62,21.61,555.55,2388.04,9041.77,1.3,47.73,526.31,2388.05,8120.11,8.47,0.03,395.0,2388.0,100.0,38.36,23.57
11,16,-0.002,0.0,100.0,518.67,643.1,1592.4,1412.84,14.62,21.61,555.47,2388.04,9042.24,1.3,47.62,526.6,2388.04,8119.66,8.46,0.03,394.0,2388.0,100.0,38.33,23.55
11,17,0.0003,0.0002,100.0,518.67,643.35,1593.92,1413.91,14.62,21.61,555.68,2388.05,9041.1,1.3,47.79,526.98,2388.06,8117.52,8.48,0.03,395.0,2388.0,100.0,38.28,23.6
11,18,0.001,-0.0001,100.0,518.67,643.42,1594.5,1414.66,14.62,21.61,555.75,2388.04,9040.88,1.3,47.85,527.2,2388.03,8116.48,8.49,0.03,396.0,2388.0,100.0,38.24,23.62
11,19,-0.0013,0.0003,100.0,518.67,643.28,1593.7,1415.24,14.62,21.61,555.65,2388.03,9041.55,1.3,47.71,527.48,2388.04,8116.1,8.47,0.03,395.0,2388.0,100.0,38.21,23.59
11,20,0.0024,-0.0002,100.0,518.67,643.6,1595.28,1416.31,14.62,21.61,555.9,2388.05,9040.2,1.3,47.92,527.9,2388.05,8114.05,8.5,0.03,396.0,2388.0,100.0,38.15,23.66
11,21,-0.0006,0.0001,100.0,518.67,643.5,1594.65,1416.99,14.62,21.61,555.84,2388.04,9040.76,1.3,47.83,528.15,2388.04,8113.7,8.49,0.03,395.0,2388.0,100.0,38.12,23.64
11,22,0.0016,-0.0001,100.0,518.67,643.77,1596.03,1418.05,14.62,21.61,556.03,2388.05,9039.84,1.3,47.98,528.52,2388.05,8111.88,8.51,0.03,397.0,2388.0,100.0,38.08,23.69
11,23,-0.001,0.0002,100.0,518.67,643.66,1595.41,1418.78,14.62,21.61,555.96,2388.04,9040.33,1.3,47.88,528.86,2388.04,8111.4,8.5,0.03,396.0,2388.0,100.0,38.05,23.67
11,24,0.002,-0.0003,100.0,518.67,643.91,1596.88,1419.84,14.62,21.61,556.15,2388.05,9039.5,1.3,48.03,529.2,2388.06,8109.66,8.52,0.03,397.0,2388.0,100.0,38.0,23.72
11,25,0.0008,0.0,100.0,518.67,644.02,1597.22,1420.42,14.62,21.61,556.23,2388.04,9039.1,1.3,48.07,529.54,2388.03,8108.88,8.53,0.03,398.0,2388.0,100.0,37.98,23.74
11,26,-0.0017,0.0003,100.0,518.67,643.9,1596.6,1421.3,14.62,21.61,556.12,2388.04,9039.72,1.3,47.95,529.82,2388.04,8108.4,8.51,0.03,397.0,2388.0,100.0,37.95,23.71
11,27,0.0013,-0.0001,100.0,518.67,644.16,1597.95,1422.35,14.62,21.61,556.31,2388.05,9038.9,1.3,48.1,530.14,2388.05,8106.75,8.54,0.03,398.0,2388.0,100.0,37.9,23.77
