unit_nr,time_cycles,op_setting_1,op_setting_2,op_setting_3,s_1,s_2,s_3,s_4,s_5,s_6,s_7,s_8,s_9,s_10,s_11,s_12,s_13,s_14,s_15,s_16,s_17,s_18,s_19,s_20,s_21
1,1,-0.0007,-0.0004,100.0,518.67,641.82,1589.7,1400.6,14.62,21.61,553.9,2388.06,9046.19,1.3,47.47,521.66,2388.02,8138.62,8.42,0.03,392.0,2388.0,100.0,39.06,23.42
1,2,0.0019,-0.0003,100.0,518.67,642.15,1591.82,1403.14,14.62,21.61,554.32,2388.07,9045.89,1.3,47.49,522.28,2388.07,8131.49,8.43,0.03,392.0,2388.0,100.0,39.0,23.42
1,3,0.0043,0.0001,100.0,518.67,642.35,1587.99,1404.2,14.62,21.61,554.52,2388.03,9050.12,1.3,47.27,522.42,2388.03,8133.23,8.4,0.03,390.0,2388.0,100.0,38.95,23.34
1,4,0.0007,0.0,100.0,518.67,642.2,1582.79,1401.87,14.62,21.61,554.45,2388.04,9049.34,1.3,47.13,522.86,2388.02,8132.91,8.38,0.03,392.0,2388.0,100.0,38.88,23.37
1,5,-0.0019,0.0002,100.0,518.67,641.98,1589.12,1402.41,14.62,21.61,554.1,2388.05,9048.75,1.3,47.28,523.11,2388.05,8134.22,8.39,0.03,391.0,2388.0,100.0,38.82,23.35
1,6,0.0021,-0.0001,100.0,518.6700063086787,622.4783907223722,1615.1801889571655,1407.4248800151004,14.620001917427388,21.609969564895973,549.3707135694991,2388.0789450903603,9071.484927073421,1.2999930583337587,43.52412877890304,533.3496720193531,2388.0256856534734,8157.931421156638,7.494325939400608,0.030003643180377737,407.839904772787,2387.999992388887,99.99999571879502,36.01084710130622,24.05761520696979
1,7,-0.0004,0.0003,100.0,518.669992541836,639.1548757142525,1556.0774703524921,1330.6830402406279,14.619983629916218,21.609998100051577,551.4882720747904,2388.165571102216,9046.12787767939,1.2999966697380558,48.7577940424491,516.2377516026146,2388.086245243691,8098.570620997748,8.5645162812224,0.029988288755565903,357.5104453081176,2388.000014214201,100.00000512960672,34.213102778064126,22.399452072216388
1,8,0.0012,-0.0002,100.0,518.6699908150608,634.7098984201415,1624.2859405704903,1334.456417704735,14.619996663255417,21.609998656767015,554.5910502224111,2388.0005483166906,9027.6570852597,1.2999994260859757,45.40444558489762,561.6018847957814,2388.106383487713,8116.632672211386,8.276480579243684,0.0300112286300783,399.4827945902164,2387.9999998342623,100.00001109427387,37.85076058299127,22.632164601510276
1,9,-0.0032,0.0001,100.0,518.6700077772464,646.4859747230237,1496.8803992519163,1343.3963798264658,14.619996881890154,21.60998019490392,544.0283212661186,2388.058888690835,9054.747035327862,1.2999939050261715,44.57922623810716,546.5219511435695,2388.0418102684857,8132.0621237289415,8.294732973353728,0.02999160971248445,399.3526146120103,2387.9999981639303,99.99998439562451,41.725912441410046,23.390380221833652
1,10,0.0025,-0.0004,100.0,518.6699905011536,648.1181921719461,1533.4945709292845,1256.7693411890637,14.619989381481922,21.609992667285155,556.5216280114521,2388.1326864028456,9093.085567029257,1.2999851318624551,42.769248911385745,530.5789789867563,2387.9766640715948,8232.22622968218,7.538016789134344,0.030009495805121106,412.2816489220622,2388.0000064622627,100.00000016585957,33.589480818492746,24.027770812731095
1,11,0.0011,0.0,100.0,518.6700053712187,654.5653185172138,1657.002512298733,1345.7830951317692,14.619995661992931,21.609994662524006,538.1713380047428,2387.915164290184,9047.269838957573,1.3000033498290278,45.452535726640214,516.6532548763607,2388.0427634335774,7976.868223653981,8.172853354623355,0.029996317198349314,388.1305341800717,2387.9999993031392,99.99999896822396,32.704957577333055,23.26397581497346
1,12,-0.0015,0.0002,100.0,518.6699964789353,644.753706172074,1602.1613378703444,1192.8766638164682,14.619995040004454,21.609976642561197,561.6993732326125,2387.9905776084925,9023.143279039356,1.2999918766280942,48.52167082874434,557.1847277090832,2388.100740406967,8070.350388556737,7.388812229622137,0.030004476106243377,366.8930081712746,2388.000000724375,100.00000818122162,40.177097655528286,21.617442654990505
