unit_nr,time_cycles,op_setting_1,op_setting_2,op_setting_3,s_1,s_2,s_3,s_4,s_5,s_6,s_7,s_8,s_9,s_10,s_11,s_12,s_13,s_14,s_15,s_16,s_17,s_18,s_19,s_20,s_21
1,1,-0.0007,-0.0004,100.0,518.67,641.82,1589.7,1400.6,14.62,21.61,553.9,2388.06,9046.19,1.3,47.47,521.66,2388.02,8138.62,8.42,0.03,392.0,2388.0,100.0,39.06,23.42
1,2,0.0019,-0.0003,100.0,518.67,641.985,1590.76,1401.87,14.62,21.61,554.11,2388.065,9046.04,1.3,47.480000000000004,521.97,2388.045,8135.055,8.425,0.03,392.0,2388.0,100.0,39.03,23.42
1,3,0.0043,0.0001,100.0,518.67,642.1066666666667,1589.8366666666668,1402.6466666666668,14.62,21.61,554.2466666666667,2388.0533333333333,9047.4,1.3,47.410000000000004,522.12,2388.0400000000004,8134.446666666667,8.416666666666666,0.03,391.3333333333333,2388.0,100.0,39.00333333333334,23.393333333333334
1,4,0.0007,0.0,100.0,518.67,642.13,1588.075,1402.4524999999999,14.62,21.61,554.2975,2388.05,9047.885,1.3,47.34,522.305,2388.035,8134.0625,8.4075,0.03,391.5,2388.0,100.0,38.972500000000004,23.387500000000003
1,5,-0.0019,0.0002,100.0,518.67,642.1,1588.284,1402.444,14.62,21.61,554.258,2388.05,9048.058,1.3,47.328,522.466,2388.038,8134.094,8.404,0.03,391.4,2388.0,100.0,38.942,23.380000000000003
1,6,0.0021,-0.0001,100.0,518.67,642.216,1588.366,1403.044,14.62,21.61,554.422,2388.0440000000003,9048.24,1.3,47.318,522.822,2388.042,8132.762,8.402,0.03,391.4,2388.0,100.0,38.886,23.375999999999998
1,7,-0.0004,0.0003,100.0,518.67,642.298,1587.732,1403.452,14.62,21.61,554.554,2388.04,9048.142,1.3,47.29,523.126,2388.04,8132.4839999999995,8.398,0.03,391.6,2388.0,100.0,38.83,23.374000000000002
1,8,0.0012,-0.0002,100.0,518.67,642.368,1588.3939999999998,1403.812,14.62,21.61,554.67,2388.0420000000004,9047.098,1.3,47.33800000000001,523.452,2388.04,8131.526,8.404,0.03,392.0,2388.0,100.0,38.778,23.395999999999997
1,9,-0.0032,0.0001,100.0,518.67,642.398,1589.818,1404.578,14.62,21.61,554.754,2388.04,9046.506,1.3,47.37,523.72,2388.044,8130.8679999999995,8.41,0.03,391.8,2388.0,100.0,38.727999999999994,23.4
1,10,0.0025,-0.0004,100.0,518.67,642.5640000000001,1590.404,1405.518,14.62,21.61,554.974,2388.04,9045.55,1.3,47.434,524.022,2388.046,8129.433999999999,8.422,0.03,392.2,2388.0,100.0,38.68,23.426
1,11,0.0011,0.0,100.0,518.67,642.664,1590.736,1406.4060000000002,14.62,21.61,555.086,2388.04,9044.772,1.3,47.466,524.326,2388.046,8128.262,8.428,0.03,392.6,2388.0,100.0,38.634,23.445999999999998
1,12,-0.0015,0.0002,100.0,518.67,642.704,1591.094,1407.15,14.62,21.61,555.124,2388.0380000000005,9044.496,1.3,47.49400000000001,524.5899999999999,2388.042,8127.392,8.431999999999999,0.03,392.4,2388.0,100.0,38.589999999999996,23.458
1,13,0.0006,-0.0003,100.0,518.67,642.774,1591.366,1407.98,14.62,21.61,555.188,2388.04,9044.096,1.3,47.528,524.9,2388.0480000000002,8126.344,8.437999999999999,0.03,392.8,2388.0,100.0,38.54,23.474
1,14,-0.0009,0.0001,100.0,518.67,642.894,1591.65,1409.0240000000001,14.62,21.61,555.274,2388.04,9043.52,1.3,47.58,525.244,2388.046,8124.88,8.443999999999999,0.03,393.2,2388.0,100.0,38.494,23.497999999999998
